request_id,material_id,batch_number,sample_type,request_date,requester,inspection_type,test_plan,priority,request_status,planned_completion_date,actual_completion_date,sample_qty,sample_unit,_airbyte_extracted_at
REQ202401001,MAT001,BATCH001,原料,2024-01-10,张三,入厂检验,原料入库检验（IQC）测试计划,高,已完成,2024-01-12,2024-01-11 16:00:00,500,g,2026-01-23 10:08:20.993 +0800
REQ202401002,MAT002,BATCH002,原料,2024-01-11,李四,入厂检验,原料入库检验（IQC）测试计划,中,已完成,2024-01-13,2024-01-13 14:00:00,300,g,2026-01-23 10:08:20.993 +0800
REQ202401003,PROD001,BATCH001,成品,2024-01-15,王五,成品检验,成品出厂全项检验（OQC）放行测试计划,高,已完成,2024-01-17,2024-01-16 18:00:00,100,片,2026-01-23 10:08:20.993 +0800
REQ202401004,MAT003,BATCH003,包材,2024-01-16,赵六,入厂检验,包材入库检验测试计划,低,进行中,2024-01-18,,200,粒,2026-01-23 10:08:20.993 +0800
A404S001,C03,240424003,成品,2024-04-24,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-04-24,2024-04-24 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A404S002,C03,240424003,成品,2024-04-24,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-04-24,2024-04-24 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A404T001,C03,240424004,成品,2024-04-24,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-04-24,2024-04-24 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A404T0013,C03,240424004,成品,2024-04-24,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-04-24,2024-04-24 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A404T002,C03,240424004,成品,2024-04-24,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-04-24,2024-04-24 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A4064001,C03,240430003,成品,2024-04-30,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-04-30,2024-04-30 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A4064001A,C03,240430003,成品,2024-04-30,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-04-30,2024-04-30 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A406B001,C03,240506001,成品,2024-05-06,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-06,2024-05-06 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A406K001,C03,240507004,成品,2024-05-07,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-07,2024-05-07 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A406M001,C03,240508001,成品,2024-05-08,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-08,2024-05-08 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A4071001,C03,240508007,成品,2024-05-08,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-08,2024-05-08 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A4072001,C03,240508008,成品,2024-05-08,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-08,2024-05-08 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A4073001,C03,240508009,成品,2024-05-08,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-08,2024-05-08 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A407B001,C03,240509007,成品,2024-05-09,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-09,2024-05-09 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A407B001A,C03,240509007,成品,2024-05-09,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-09,2024-05-09 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A407C001,C03,240509008,成品,2024-05-09,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-09,2024-05-09 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A407H001,C03,240510003,成品,2024-05-10,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-10,2024-05-10 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A407K001,C03,240511002,成品,2024-05-11,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-11,2024-05-11 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A407L001,C03,240511003,成品,2024-05-11,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-11,2024-05-11 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A407Z001,C03,240513003,成品,2024-05-13,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-13,2024-05-13 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A408H001,C03,240514002,成品,2024-05-14,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-14,2024-05-14 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A408K001,C03,240515001,成品,2024-05-15,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-15,2024-05-15 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A4095001,C03,240516-1,成品,2024-05-16,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-16,2024-05-16 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A409I001,C03,240520001,成品,2024-05-20,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-20,2024-05-20 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A409T001,C03,240520002,成品,2024-07-16,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-07-16,2024-07-16 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
