result_id,task_id,test_item_id,sample_id,test_value,test_unit,standard_min,standard_max,result_status,test_date,analyst_id,reviewer_id,review_date,review_status,remark,create_date,update_date,_airbyte_extracted_at
RES001,TSK001,TI001,SAM001,99.6,百分比,99.0,100.0,合格,2024-01-11 10:00:00,分析员 A,审核员 X,2024-01-11 11:00:00,已审核,,2024-01-11,2024-01-11,2026-01-23 10:08:20.993 +0800
RES002,TSK002,TI002,SAM001,0.05,百分比,0,0.1,合格,2024-01-11 14:00:00,分析员 A,审核员 X,2024-01-11 15:00:00,已审核,,2024-01-11,2024-01-11,2026-01-23 10:08:20.993 +0800
RES003,TSK003,TI001,SAM002,99.2,百分比,99.0,100.0,合格,2024-01-12 11:00:00,分析员 B,审核员 Y,2024-01-12 14:00:00,已审核,,2024-01-12,2024-01-11,2026-01-23 10:08:20.993 +0800
RES004,TSK004,TI003,SAM003,98.5,百分比,98.0,102.0,合格,2024-01-16 16:00:00,分析员 C,审核员 X,2024-01-16 17:00:00,已审核,,2024-01-16,2024-01-11,2026-01-23 10:08:20.993 +0800
RES00001,TSK00001,TI006,SAM00001,2.0,倍,,3.0,合格,2024-04-24 00:00:00,ANA006,审核员 X,2024-04-24 00:00:00,已审核,,2024-04-24,2024-04-24,2026-01-23 10:08:20.993 +0800
RES00002,TSK00002,TI006,SAM00001,3.0,倍,,3.0,合格,2024-04-24 00:00:00,ANA006,审核员 X,2024-04-24 00:00:00,已审核,,2024-04-24,2024-04-24,2026-01-23 10:08:20.993 +0800
RES00003,TSK00003,TI006,SAM00002,2.0,倍,,3.0,合格,2024-04-24 00:00:00,ANA006,审核员 X,2024-04-24 00:00:00,已审核,,2024-04-24,2024-04-24,2026-01-23 10:08:20.993 +0800
RES00004,TSK00004,TI006,SAM00002,2.5,倍,,3.0,合格,2024-04-24 00:00:00,,审核员 X,2024-04-24 00:00:00,已审核,,2024-04-24,2024-04-24,2026-01-23 10:08:20.993 +0800
RES00005,TSK00005,TI006,SAM00002,3.0,倍,,3.0,合格,2024-04-24 00:00:00,ANA006,审核员 X,2024-04-24 00:00:00,已审核,,2024-04-24,2024-04-24,2026-01-23 10:08:20.993 +0800
RES00006,TSK00006,TI006,SAM00003,2.0,倍,,3.0,合格,2024-04-30 00:00:00,ANA006,审核员 X,2024-04-30 00:00:00,已审核,,2024-04-30,2024-04-30,2026-01-23 10:08:20.993 +0800
RES00007,TSK00007,TI006,SAM00003,2.0,倍,,3.0,合格,2024-04-30 00:00:00,ANA006,审核员 X,2024-04-30 00:00:00,已审核,,2024-04-30,2024-04-30,2026-01-23 10:08:20.993 +0800
RES00008,TSK00008,TI006,SAM00004,2.0,倍,,3.0,合格,2024-05-06 00:00:00,ANA006,审核员 X,2024-05-06 00:00:00,已审核,,2024-05-06,2024-05-06,2026-01-23 10:08:20.993 +0800
RES00009,TSK00009,TI006,SAM00005,2.9,倍,,3.0,合格,2024-05-07 17:14:35,ANA006,审核员 X,2024-05-07 17:14:35,已审核,,2024-05-07,2024-05-07,2026-01-23 10:08:20.993 +0800
