sample_id,sample_code,material_id,batch_number,sample_type,sample_qty,sample_unit,sample_date,sampler,storage_condition,expiry_date,sample_status,location,create_date,update_date,_airbyte_extracted_at
SAM001,SAM202401001,MAT001,BATCH001,原料,500,g,2024-01-10,取样员 A,常温干燥,2024-02-10,已完成,样品库 A 区,2024-01-10,2024-01-10,2026-01-23 10:08:20.993 +0800
SAM002,SAM202401002,MAT002,BATCH002,原料,300,g,2024-01-11,取样员 B,常温干燥,2024-02-11,已完成,样品库 A 区,2024-01-11,2024-01-10,2026-01-23 10:08:20.993 +0800
SAM003,SAM202401003,PROD001,BATCH001,成品,100,片,2024-01-15,取样员 A,常温干燥,2024-03-15,已完成,样品库 B 区,2024-01-15,2024-01-10,2026-01-23 10:08:20.993 +0800
SAM004,SAM202401004,MAT003,BATCH004,包材,200,粒,2024-01-16,取样员 C,常温干燥,2024-03-16,检测中,样品库 A 区,2024-01-16,2024-01-10,2026-01-23 10:08:20.993 +0800
SAM00001,SAM240424003,C03,240424003,成品,100,支,2024-04-24,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-04-24,2024-04-24,2026-01-23 10:08:20.993 +0800
SAM00002,SAM240424004,C03,240424004,成品,100,支,2024-04-24,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-04-24,2024-04-24,2026-01-23 10:08:20.993 +0800
SAM00003,SAM240430003,C03,240430003,成品,100,支,2024-04-30,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-04-30,2024-04-30,2026-01-23 10:08:20.993 +0800
SAM00004,SAM240506001,C03,240506001,成品,100,支,2024-05-06,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-06,2024-05-06,2026-01-23 10:08:20.993 +0800
SAM00005,SAM240507004,C03,240507004,成品,100,支,2024-05-07,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-07,2024-05-07,2026-01-23 10:08:20.993 +0800
SAM00006,SAM240508001,C03,240508001,成品,100,支,2024-05-08,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-08,2024-05-08,2026-01-23 10:08:20.993 +0800
SAM00007,SAM240508007,C03,240508007,成品,100,支,2024-05-08,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-08,2024-05-08,2026-01-23 10:08:20.993 +0800
SAM00008,SAM240508008,C03,240508008,成品,100,支,2024-05-08,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-08,2024-05-08,2026-01-23 10:08:20.993 +0800
SAM00009,SAM240508009,C03,240508009,成品,100,支,2024-05-08,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-08,2024-05-08,2026-01-23 10:08:20.993 +0800
SAM00010,SAM240509007,C03,240509007,成品,100,支,2024-05-09,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-09,2024-05-09,2026-01-23 10:08:20.993 +0800
SAM00011,SAM240509008,C03,240509008,成品,100,支,2024-05-09,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-09,2024-05-09,2026-01-23 10:08:20.993 +0800
