study_id,study_code,product_id,batch_number,study_type,storage_condition,timepoint,timepoint_months,sample_id,test_item_id,test_item_name,test_value,test_unit,specification,result_status,test_date,analyst_id,study_status,create_date,_airbyte_extracted_at
SS001,STB-2024-001,PROD001,B20240101001,长期,25℃/60%RH,T0,0,S001,TI001,含量,99.8,%,98.0-102.0%,符合,2024-01-15,A001,进行中,2024-01-15 10:00:00,2024-01-15 11:00:00
SS002,STB-2024-001,PROD001,B20240101001,长期,25℃/60%RH,T0,0,S001,TI002,溶出度,95.2,%,≥80%,符合,2024-01-15,A001,进行中,2024-01-15 10:30:00,2024-01-15 11:00:00
SS003,STB-2024-001,PROD001,B20240101001,长期,25℃/60%RH,T0,0,S001,TI003,水分,2.8,%,≤5.0%,符合,2024-01-15,A002,进行中,2024-01-15 11:00:00,2024-01-15 11:30:00
SS004,STB-2024-001,PROD001,B20240101001,长期,25℃/60%RH,1M,1,S002,TI001,含量,99.6,%,98.0-102.0%,符合,2024-02-15,A001,进行中,2024-02-15 10:00:00,2024-02-15 11:00:00
SS005,STB-2024-001,PROD001,B20240101001,长期,25℃/60%RH,1M,1,S002,TI002,溶出度,94.8,%,≥80%,符合,2024-02-15,A001,进行中,2024-02-15 10:30:00,2024-02-15 11:00:00
SS006,STB-2024-001,PROD001,B20240101001,长期,25℃/60%RH,3M,3,S003,TI001,含量,99.2,%,98.0-102.0%,符合,2024-04-15,A001,进行中,2024-04-15 10:00:00,2024-04-15 11:00:00
SS007,STB-2024-002,PROD001,B20240101001,加速,40℃/75%RH,T0,0,S004,TI001,含量,99.8,%,98.0-102.0%,符合,2024-01-15,A001,进行中,2024-01-15 14:00:00,2024-01-15 15:00:00
SS008,STB-2024-002,PROD001,B20240101001,加速,40℃/75%RH,T0,0,S004,TI002,溶出度,95.0,%,≥80%,符合,2024-01-15,A001,进行中,2024-01-15 14:30:00,2024-01-15 15:00:00
SS009,STB-2024-002,PROD001,B20240101001,加速,40℃/75%RH,1M,1,S005,TI001,含量,98.9,%,98.0-102.0%,符合,2024-02-15,A001,进行中,2024-02-15 14:00:00,2024-02-15 15:00:00
SS010,STB-2024-002,PROD001,B20240101001,加速,40℃/75%RH,3M,3,S006,TI001,含量,97.5,%,98.0-102.0%,趋势异常,2024-04-15,A001,进行中,2024-04-15 14:00:00,2024-04-15 15:00:00
SS011,STB-2024-003,PROD002,B20240115001,长期,25℃/60%RH,T0,0,S007,TI004,pH值,6.8,,6.5-7.5,符合,2024-01-20,A002,进行中,2024-01-20 10:00:00,2024-01-20 11:00:00
SS012,STB-2024-003,PROD002,B20240115001,长期,25℃/60%RH,T0,0,S007,TI005,澄清度,合格,,澄清,符合,2024-01-20,A002,进行中,2024-01-20 10:30:00,2024-01-20 11:00:00
SS013,STB-2024-003,PROD002,B20240115001,长期,25℃/60%RH,1M,1,S008,TI004,pH值,6.7,,6.5-7.5,符合,2024-02-20,A002,进行中,2024-02-20 10:00:00,2024-02-20 11:00:00
SS014,STB-2024-004,PROD003,B20240201001,长期,2-8℃,T0,0,S009,TI006,效价,102,IU/mg,90-110 IU/mg,符合,2024-02-10,A003,进行中,2024-02-10 10:00:00,2024-02-10 11:00:00
SS015,STB-2024-004,PROD003,B20240201001,长期,2-8℃,1M,1,S010,TI006,效价,101,IU/mg,90-110 IU/mg,符合,2024-03-10,A003,进行中,2024-03-10 10:00:00,2024-03-10 11:00:00
