test_id,monitoring_point_id,monitoring_point_name,water_type,parameter_name,test_value,test_unit,limit_min,limit_max,result_status,test_date,analyst_id,equipment_id,batch_number,create_date,_airbyte_extracted_at
WQ001,WP001,纯化水取样点A,纯化水,TOC,0.35,mg/L,0,0.5,合格,2024-01-15,A001,EQ001,B20240115001,2024-01-15 09:30:00,2024-01-15 10:00:00
WQ002,WP001,纯化水取样点A,纯化水,电导率,0.8,μS/cm,0,1.3,合格,2024-01-15,A001,EQ002,B20240115001,2024-01-15 09:35:00,2024-01-15 10:00:00
WQ003,WP001,纯化水取样点A,纯化水,微生物,45,CFU/mL,0,100,合格,2024-01-15,A002,EQ003,B20240115001,2024-01-15 10:00:00,2024-01-15 10:30:00
WQ004,WP002,注射用水取样点B,注射用水,TOC,0.28,mg/L,0,0.5,合格,2024-01-15,A001,EQ001,B20240115002,2024-01-15 11:00:00,2024-01-15 11:30:00
WQ005,WP002,注射用水取样点B,注射用水,电导率,0.6,μS/cm,0,1.3,合格,2024-01-15,A001,EQ002,B20240115002,2024-01-15 11:05:00,2024-01-15 11:30:00
WQ006,WP002,注射用水取样点B,注射用水,微生物,8,CFU/100mL,0,10,合格,2024-01-15,A002,EQ003,B20240115002,2024-01-15 11:30:00,2024-01-15 12:00:00
WQ007,WP002,注射用水取样点B,注射用水,内毒素,0.15,EU/mL,0,0.25,合格,2024-01-15,A003,EQ004,B20240115002,2024-01-15 12:00:00,2024-01-15 12:30:00
WQ008,WP003,纯化水储罐,纯化水,TOC,0.42,mg/L,0,0.5,合格,2024-01-16,A001,EQ001,B20240116001,2024-01-16 09:00:00,2024-01-16 09:30:00
WQ009,WP003,纯化水储罐,纯化水,电导率,1.1,μS/cm,0,1.3,合格,2024-01-16,A001,EQ002,B20240116001,2024-01-16 09:05:00,2024-01-16 09:30:00
WQ010,WP003,纯化水储罐,纯化水,微生物,85,CFU/mL,0,100,合格,2024-01-16,A002,EQ003,B20240116001,2024-01-16 09:30:00,2024-01-16 10:00:00
WQ011,WP004,注射用水分配环路,注射用水,TOC,0.32,mg/L,0,0.5,合格,2024-01-16,A001,EQ001,B20240116002,2024-01-16 10:30:00,2024-01-16 11:00:00
WQ012,WP004,注射用水分配环路,注射用水,电导率,0.7,μS/cm,0,1.3,合格,2024-01-16,A001,EQ002,B20240116002,2024-01-16 10:35:00,2024-01-16 11:00:00
WQ013,WP004,注射用水分配环路,注射用水,微生物,5,CFU/100mL,0,10,合格,2024-01-16,A002,EQ003,B20240116002,2024-01-16 11:00:00,2024-01-16 11:30:00
WQ014,WP001,纯化水取样点A,纯化水,TOC,0.55,mg/L,0,0.5,不合格,2024-01-17,A001,EQ001,B20240117001,2024-01-17 09:00:00,2024-01-17 09:30:00
WQ015,WP001,纯化水取样点A,纯化水,电导率,0.9,μS/cm,0,1.3,合格,2024-01-17,A001,EQ002,B20240117001,2024-01-17 09:05:00,2024-01-17 09:30:00
