limit_id,product_id,operation_id,param_name,min_value,max_value,unit,effective_start_date,effective_end_date,limit_version,limit_status,_airbyte_extracted_at
LIM-001,P-1001,OP-001,温度,18.0,22.0,℃,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-002,P-1001,OP-001,相对湿度,45.0,55.0,%,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-003,P-1001,OP-002,搅拌速度,200.0,250.0,rpm,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-004,P-1001,OP-002,搅拌时间,25.0,35.0,min,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-005,P-1002,OP-003,反应温度,60.0,70.0,℃,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-006,P-1002,OP-003,反应压力,0.15,0.25,MPa,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-007,P-1002,OP-004,干燥温度,45.0,55.0,℃,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-008,P-1002,OP-004,干燥时间,4.0,6.0,h,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-009,P-1003,OP-005,制粒转速,800.0,1000.0,rpm,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-010,P-1003,OP-005,颗粒水分含量,1.5,2.5,%,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-011,P-1003,OP-006,压片硬度,40.0,60.0,N,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-012,P-1003,OP-006,片重差异,95.0,105.0,mg,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-013,P-1005,OP-007,包衣温度,35.0,45.0,℃,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-014,P-1005,OP-007,喷雾速率,5.0,8.0,mL/min,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-015,P-1008,OP-008,灌装速度,80.0,120.0,bottles/min,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-016,P-1008,OP-008,装量差异,98.0,102.0,mL,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-017,P-1010,OP-009,灭菌温度,121.0,125.0,℃,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-018,P-1010,OP-009,灭菌时间,15.0,30.0,min,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-019,P-1012,OP-010,冻干温度,-40.0,-35.0,℃,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-020,P-1012,OP-010,真空度,10.0,20.0,Pa,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-021,P-1015,OP-011,胶囊填充量,480.0,520.0,mg,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-022,P-1015,OP-011,胶囊壳水分,12.0,16.0,%,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-023,P-1007,OP-012,溶出度时间,30.0,45.0,min,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-024,P-1007,OP-012,溶出量,85.0,100.0,%,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-025,P-1004,OP-013,颗粒粒径,150.0,250.0,μm,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
LIM-026,P-1009,OP-014,包装速度,100.0,150.0,boxes/min,2024-01-01,9999-12-31,1.0,active,2024-02-01 08:00:00
